id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
690073662897501308,Unit D Manor House (month to month),407581863,Warren,,Ward 8,44.95028,-123.06548,Entire home/apt,115,28,2,2022-11-13,0.05,15,342,0,
694880773128927057,Mad Men Retro Style w/ Record Player,172368364,Ellen,,Ward 2,44.934,-123.02517,Entire home/apt,92,30,29,2025-08-03,0.81,13,364,11,
703706236478091861,Downtown Salem Next to Bush Park Historical Home,97331039,Brandon,,Ward 2,44.93213,-123.04027,Entire home/apt,362,2,74,2025-09-21,2.39,5,230,25,
705746441768318341,South Salem Renovated Rancher,86630509,Rishel,,Ward 7,44.88549,-123.05494,Entire home/apt,168,2,97,2025-08-20,2.76,3,292,29,
714534719251759279,Brand New Custom Built Cottage in Downtown w/Pool!,22810342,Michael,,Ward 1,44.94641,-123.02289,Entire home/apt,104,1,125,2025-09-18,4.15,5,267,56,
719704523910815941,"Bright bungalow, pet-friendly, fenced yard",41156732,Stacey And Justin,,Ward 2,44.91937,-123.03304,Entire home/apt,,31,6,2024-01-31,0.18,2,0,0,
728177657754369166,Talavera- vibrant Mexican-inspired apt in Salem,172368364,Ellen,,Ward 2,44.934,-123.02517,Entire home/apt,166,30,15,2025-07-21,0.44,13,327,6,
730661192567919286,Belmont Mural Studio,103777868,Andrew,,Ward 1,44.94887,-123.02684,Entire home/apt,87,1,129,2025-09-21,3.78,1,50,35,
731178778661576057,Home away,482377919,Oluwatoyin Abi,,Ward 7,44.89387,-123.06039,Private room,,1,0,,,1,0,0,
731437149026597310,"3BR Home by Bush Park, Downtown, Hospital, WU, SLE",36091512,Cameron Ryan,,Ward 2,44.92671,-123.03387,Entire home/apt,,1,92,2025-05-25,2.95,1,259,26,
732536546927121715,Gorgeous 3 bedroom pet friendly home - West Salem,90022661,Cathy J,,Ward 8,44.94639,-123.06904,Entire home/apt,135,7,1,2022-10-30,0.03,1,87,0,
739339593342158838,Historic Loft Above McMenamins - Modern Ammenities,84296528,Lillian,,Ward 1,44.9477,-123.03418,Entire home/apt,134,2,147,2025-09-07,4.13,2,51,42,
741268950953419301,The Fairview.,334297061,Christopher,,Ward 2,44.91265,-123.03953,Entire home/apt,155,1,207,2025-09-01,6.18,1,254,56,
741373589140804006,"Single Level, Modern, Clean 3 Bdrm 2 Bath Property",193893330,Darren,,Ward 7,44.88592,-123.06353,Entire home/apt,233,2,12,2025-06-22,0.36,1,341,4,
742691488451181450,Cheerful 3 bedroom home with all the amenities!,438086831,Oleg,,Ward 3,44.88832,-123.04831,Entire home/apt,,30,4,2024-01-02,0.15,8,0,0,
742712444659853643,Bright and Airy Owners Suite w/ ensuite,438086831,Oleg,,Ward 3,44.88922,-123.04823,Private room,,30,0,,,8,0,0,
742734313268207655,Charming bedroom in a conveniently located home,438086831,Oleg,,Ward 3,44.88907,-123.04839,Private room,,30,0,,,8,0,0,
742742669593103146,Warm and Spacious Private Bedroom,438086831,Oleg,,Ward 3,44.88822,-123.04652,Private room,,30,0,,,8,0,0,
745182968152467380,Unit C at the Manor House (month to month),407581863,Warren,,Ward 8,44.95010036197599,-123.06663334484612,Entire home/apt,105,28,6,2024-07-01,0.21,15,348,0,
749513190648603576,Pied-à-terre on the Park,9377039,Nicole,,Ward 1,44.94139,-123.04149,Entire home/apt,,2,14,2023-03-28,0.40,1,0,0,
751613443453571574,"The Spot! Hot Tub, entertainment paradise",79580279,Michelle,,Ward 4,44.87604,-123.04944,Entire home/apt,239,2,41,2025-09-17,1.16,1,61,13,
752266632164894604,Bedroom in West Salem,75807577,Aleksey,,Ward 8,44.94182,-123.09014,Private room,46,30,34,2025-07-27,1.15,2,83,13,
754373380258186954,Room in a house  bathroom/queen size bed,486617372,Luz,,Ward 7,44.89461644178575,-123.0681398883462,Private room,52,31,0,,,3,365,0,
754579778573268788,Room in a house private bathroom/king size bed,486617372,Luz,,Ward 7,44.89465063792065,-123.0681412294507,Private room,67,30,0,,,3,364,0,
754582963829236445,Cozy house in a safe and quite neighborhood,486617372,Luz,,Ward 7,44.89513,-123.06924,Entire home/apt,151,31,0,,,3,364,0,
755760729813143533,Private Mini Vacay RV in Salem,13080515,Kevin,,Ward 8,44.9579415,-123.0677044,Entire home/apt,149,2,14,2024-09-15,0.51,1,27,0,
755877635014519688,Central Salem Hideaway Studio,113898124,Alyssa,,Ward 1,44.9443125,-123.0184035,Entire home/apt,67,1,334,2025-09-19,9.63,1,151,98,
761020547818487329,"Far East Escape: Zen apartment, Japanese tea table",172368364,Ellen,,Ward 2,44.934,-123.02517,Entire home/apt,65,30,49,2025-08-10,1.47,13,325,29,
764824593397783983,"5 min from Downtown, Hospital, and University!",42853709,Annie,,Ward 2,44.91938499996582,-123.03520504385232,Entire home/apt,97,30,5,2025-06-16,0.15,4,94,1,
769880376869091272,Cozy PNW 2 bedroom unit,301586216,Gene,,Ward 5,44.99778,-122.96779,Entire home/apt,266,2,10,2025-06-14,0.30,2,364,1,
